source_path,target_path,role,rows,bytes,source_sha256,target_sha256
manuscript_plots_final/Figure1/Figure1C_hook-count_Ptet/data/underlying_cell_points.csv,data/processed/figure_01/F1_C/cell_points.csv,processed_cell_points,23046,2752299,32b76201f4a7336719d9a5f097b5f4d20b587cccc702b881f4de4906f244779e,32b76201f4a7336719d9a5f097b5f4d20b587cccc702b881f4de4906f244779e
manuscript_plots_final/Figure1/Figure1C_hook-count_Ptet/data/underlying_replicate_means.csv,data/processed/figure_01/F1_C/replicate_means.csv,processed_replicate_means,21,1881,4d05aa357644b865a32f42a0ae72bf3a86aa514649bf001fee59a09f7d6fce23,4d05aa357644b865a32f42a0ae72bf3a86aa514649bf001fee59a09f7d6fce23
manuscript_plots_final/Figure1/Figure1C_hook-count_Ptet/data/stats_vs_wt.csv,data/processed/figure_01/F1_C/legacy_statistics.csv,legacy_statistics_reference,7,3169,8e47d58d73d26974db72fa70b9ba4d2b461b104d751beb7c23191b68dfcd1e3e,8e47d58d73d26974db72fa70b9ba4d2b461b104d751beb7c23191b68dfcd1e3e
manuscript_plots_final/Figure1/Figure1C_hook-count_Ptet/data/underlying_all_plotted_points.csv,data/source_data/figure_01/F1_C/plotted_values.csv,source_data_plotted_values,23067,2892585,1d87a17e1f89aa478661146d5be5653b86f87bf08c74a491a8702090826e86cf,1d87a17e1f89aa478661146d5be5653b86f87bf08c74a491a8702090826e86cf
manuscript_plots_final/Figure1/Figure1C_hook-count_Ptet/data/stats_vs_wt.csv,data/source_data/figure_01/F1_C/statistics.csv,source_data_statistics,7,3169,8e47d58d73d26974db72fa70b9ba4d2b461b104d751beb7c23191b68dfcd1e3e,8e47d58d73d26974db72fa70b9ba4d2b461b104d751beb7c23191b68dfcd1e3e
manuscript_plots_final/Figure1/Figure1C_flagella-count_Ptet/data/underlying_cell_points.csv,data/processed/figure_01/F1_D/cell_points.csv,processed_cell_points,23046,2752302,55534cd2b470d969639e6a3a6d19a24f6549f6f1a497f9c4f03f96c5672e4a0f,55534cd2b470d969639e6a3a6d19a24f6549f6f1a497f9c4f03f96c5672e4a0f
manuscript_plots_final/Figure1/Figure1C_flagella-count_Ptet/data/underlying_replicate_means.csv,data/processed/figure_01/F1_D/replicate_means.csv,processed_replicate_means,21,1887,b3553a3537f27f92515b4448fa1c9ae9dca572f1dce968bb80ee9f728550e955,b3553a3537f27f92515b4448fa1c9ae9dca572f1dce968bb80ee9f728550e955
manuscript_plots_final/Figure1/Figure1C_flagella-count_Ptet/data/stats_vs_wt.csv,data/processed/figure_01/F1_D/legacy_statistics.csv,legacy_statistics_reference,7,3180,a09acfc6094379cddda7ac4c622d15ae6d70caf11b0b03f181130eccec356277,a09acfc6094379cddda7ac4c622d15ae6d70caf11b0b03f181130eccec356277
manuscript_plots_final/Figure1/Figure1C_flagella-count_Ptet/data/underlying_all_plotted_points.csv,data/source_data/figure_01/F1_D/plotted_values.csv,source_data_plotted_values,23067,2892594,7286aa79c6dbbd30f4ba33e1c27b3f8c2e9d2eea7692a9c37e1897ee3dd163f1,7286aa79c6dbbd30f4ba33e1c27b3f8c2e9d2eea7692a9c37e1897ee3dd163f1
manuscript_plots_final/Figure1/Figure1C_flagella-count_Ptet/data/stats_vs_wt.csv,data/source_data/figure_01/F1_D/statistics.csv,source_data_statistics,7,3180,a09acfc6094379cddda7ac4c622d15ae6d70caf11b0b03f181130eccec356277,a09acfc6094379cddda7ac4c622d15ae6d70caf11b0b03f181130eccec356277
